method,K,seed,LL,time_sec,Q_r2_vs_fm,Q_rmse_vs_fm
gpuadmix,2,42,-252414315.0,9.255858898162842,0.9999941959529215,0.9623269741268675
fastmixture,2,42,-252413105.8,,,
gpuadmix,2,1,-252414251.0,16.238574743270874,0.9999942099185789,0.9623306527824732
fastmixture,2,1,-252413105.5,,,
gpuadmix,2,2,-252414251.0,17.65524983406067,0.999994203124543,0.9623323352107904
fastmixture,2,2,-252413105.3,,,
gpuadmix,2,3,-252414315.0,14.127529859542847,0.9999931553238655,0.0011691963899009452
gpuadmix,2,7,-252414256.0,11.139203548431396,0.9999942170924462,0.0010489737004197924
gpuadmix,3,42,-245521531.0,16.37799859046936,0.9999948476883193,0.7139949226293957
fastmixture,3,42,-245523809.8,,,
gpuadmix,3,1,-245521534.0,17.118501901626587,0.9999943597314874,0.7139935939639593
fastmixture,3,1,-245523810.6,,,
gpuadmix,3,2,-245521479.0,18.470526695251465,0.9999946932343438,0.6290992336729324
fastmixture,3,2,-245523810.5,,,
gpuadmix,3,3,-245521522.0,10.677939891815186,0.9999948457410346,0.7139157300712787
gpuadmix,3,7,-245521506.0,9.522782325744629,0.9999945425799682,0.5626393200407395
gpuadmix,4,42,-243365862.0,13.516662836074829,0.5998756615679757,0.5275061268734789
fastmixture,4,42,-243368671.8,,,
gpuadmix,4,1,-243207351.0,22.352943420410156,0.6000909655395056,0.5514243394606461
fastmixture,4,1,-243368672.8,,,
gpuadmix,4,2,-243365943.0,13.574470520019531,0.9999952819775035,0.6354770646753427
fastmixture,4,2,-243368671.7,,,
gpuadmix,4,3,-243366063.0,16.39661931991577,0.9999891136996046,0.6278555834553151
gpuadmix,4,7,-243365940.0,13.849320650100708,0.9999947805597825,0.6353989600510448
gpuadmix,5,42,-241224753.0,22.619904041290283,0.9999834996147797,0.5794516874676033
fastmixture,5,42,-241227642.4,,,
gpuadmix,5,1,-241224710.0,16.980997562408447,0.9999836616553855,0.5818068131949133
fastmixture,5,1,-241227643.1,,,
gpuadmix,5,2,-241224902.0,15.154755115509033,0.9999683294025372,0.5866968168836036
fastmixture,5,2,-241227642.6,,,
gpuadmix,5,3,-241224790.0,12.364562749862671,0.9999804331614879,0.5880251516994918
gpuadmix,5,7,-241224601.0,17.066509246826172,0.9999910518346564,0.5907997868250949
gpuadmix,6,42,-240881644.0,22.963032722473145,0.9811816172125817,0.5169346703329113
fastmixture,6,42,-240879254.1,,,
gpuadmix,6,1,-240881979.0,25.460265159606934,0.9868975358299282,0.4498861127410793
fastmixture,6,1,-240879254.0,,,
gpuadmix,6,2,-240881715.0,23.550786018371582,0.9876973230286983,0.4051876457980787
fastmixture,6,2,-240879256.6,,,
gpuadmix,6,3,-240879190.0,19.96112036705017,0.9961347535429254,0.512622537621773
gpuadmix,6,7,-240881528.0,17.9931378364563,0.9883728840478518,0.48864104806121766
gpuadmix,7,42,-240595379.0,36.50110220909119,0.7748396121335954,0.43506523318535784
fastmixture,7,42,-240626481.9,,,
gpuadmix,7,1,-240597434.0,61.29588532447815,0.7734906451879098,0.46990563313094197
fastmixture,7,1,-240626481.5,,,
gpuadmix,7,2,-240630532.0,63.021442890167236,0.9899624780473407,0.37744077109683616
fastmixture,7,2,-240626480.3,,,
gpuadmix,7,3,-240596938.0,46.002562284469604,0.7708554845356934,0.4200049585410217
gpuadmix,7,7,-240625756.0,37.24327039718628,0.9974589940785937,0.4237319095249775
gpuadmix,8,42,-240384956.0,61.81453275680542,0.9837609438783046,0.35523001249780706
fastmixture,8,42,-240346729.1,,,
gpuadmix,8,1,-240360491.0,59.93061113357544,0.7998967997140212,0.42216644342072707
fastmixture,8,1,-240346726.6,,,
gpuadmix,8,2,-240375703.0,185.66008591651917,0.7500627303882346,0.4120742226868724
fastmixture,8,2,-240346725.5,,,
gpuadmix,8,3,-240353529.0,56.62147235870361,0.8110556915963703,0.4167341791154917
gpuadmix,8,7,-240381453.0,60.14315152168274,0.8205527008159452,0.4365922135441072
gpuadmix,9,42,-240102381.0,66.96037173271179,,0.3802434108120112
fastmixture,9,42,-240105415.4,,,
gpuadmix,9,1,-240104875.0,107.43409514427185,,0.3855917632831534
fastmixture,9,1,-240105415.1,,,
gpuadmix,9,2,-240107541.0,61.48229360580444,,0.3600882271879764
fastmixture,9,2,-240105414.3,,,
gpuadmix,9,3,-240200297.0,65.85143733024597,,0.386351392095861
gpuadmix,9,7,-240102582.0,69.5625467300415,,0.39679975074729984
gpuadmix,10,42,-239967541.0,108.57871627807617,,0.31878864174423227
fastmixture,10,42,-239939093.0,,,
gpuadmix,10,1,-239949420.0,77.36548066139221,,0.31593402065042914
fastmixture,10,1,-239939094.1,,,
gpuadmix,10,2,-239942815.0,65.0292227268219,,0.37545798328615604
fastmixture,10,2,-239939091.3,,,
gpuadmix,10,3,-239940696.0,60.44854998588562,,0.3460063457841158
gpuadmix,10,7,-239925441.0,81.77917981147766,,0.3824755841774083
